iter	Passed	Remaining
0	228	228037
1	229	114742
2	231	76804
3	232	57780
4	233	46387
5	234	38786
6	235	33375
7	236	29334
8	238	26258
9	239	23752
10	241	21720
11	242	19994
12	244	18550
13	245	17288
14	246	16174
15	247	15206
16	248	14351
17	249	13588
18	249	12904
19	251	12341
20	254	11874
21	255	11374
22	256	10909
23	257	10479
24	258	10083
25	259	9719
26	260	9382
27	261	9071
28	262	8779
29	263	8509
30	264	8257
31	265	8016
32	267	7835
33	268	7632
34	269	7432
35	270	7242
36	271	7062
37	272	6891
38	273	6727
39	273	6572
40	274	6429
41	276	6297
42	276	6164
43	277	6034
44	278	5910
45	279	5797
46	281	5697
47	282	5596
48	283	5494
49	284	5396
50	284	5301
51	285	5208
52	286	5122
53	287	5042
54	288	4963
55	289	4886
56	290	4813
57	292	4743
58	295	4712
59	296	4649
60	297	4582
61	298	4516
62	299	4454
63	300	4392
64	301	4333
65	302	4274
66	303	4223
67	304	4170
68	305	4117
69	306	4067
70	306	4016
71	308	3970
72	310	3937
73	311	3893
74	311	3847
75	313	3805
76	313	3763
77	314	3721
78	315	3680
79	316	3641
80	317	3602
81	318	3567
82	319	3526
83	320	3491
84	322	3468
85	324	3446
86	325	3415
87	326	3383
88	327	3351
89	328	3322
90	329	3294
91	330	3264
92	331	3235
93	332	3206
94	333	3177
95	334	3151
96	335	3123
97	336	3097
98	337	3071
99	338	3049
100	340	3027
101	341	3002
102	341	2977
103	342	2953
104	343	2930
105	344	2908
106	345	2884
107	346	2862
108	348	2846
109	349	2825
110	350	2804
111	350	2782
112	352	2770
113	354	2753
114	355	2733
115	356	2713
116	356	2692
117	357	2673
118	358	2655
119	359	2637
120	360	2619
121	361	2600
122	362	2583
123	363	2566
124	364	2549
125	365	2534
126	366	2517
127	367	2505
128	368	2491
129	369	2475
130	370	2459
131	371	2444
132	372	2428
133	373	2413
134	374	2398
135	375	2383
136	376	2368
137	377	2355
138	378	2341
139	378	2327
140	379	2313
141	380	2297
142	383	2295
143	384	2283
144	385	2270
145	385	2257
146	386	2243
147	387	2230
148	388	2217
149	389	2206
150	390	2193
151	391	2181
152	392	2171
153	393	2158
154	393	2147
155	394	2136
156	396	2130
157	398	2124
158	399	2113
159	400	2103
160	401	2091
161	402	2081
162	403	2071
163	404	2061
164	405	2051
165	406	2043
166	407	2033
167	408	2025
168	409	2015
169	411	2009
170	412	2000
171	413	1990
172	414	1981
173	415	1973
174	416	1963
175	417	1955
176	418	1946
177	419	1937
178	420	1927
179	421	1918
180	421	1908
181	425	1911
182	426	1903
183	427	1896
184	428	1886
185	429	1879
186	431	1875
187	432	1867
188	433	1859
189	434	1853
190	436	1846
191	437	1839
192	438	1833
193	440	1831
194	441	1824
195	442	1816
196	443	1808
197	444	1800
198	445	1792
199	446	1785
200	447	1778
201	448	1772
202	449	1765
203	450	1758
204	451	1752
205	454	1753
206	455	1746
207	456	1739
208	457	1731
209	458	1725
210	459	1720
211	461	1715
212	462	1708
